CREL,Trend
0.831126228,7
0.628759381,5
0.56880897,3
-0.014365025,-1
-0.112225364,-1
-0.157963993,-1
0.468854279,3
0.296396208,7
0.710468064,11
0.892847437,7
0.224107317,-3
-0.22333075,-3
-0.234788137,-1
0.751429946,7
0.918076653,-9
-0.463309994,-1
0.501044841,5
-0.359105549,-1
0.703740466,5
0.229607349,5
0.642255124,1
0.667179361,13
0.848333737,-13
0.969182469,-13
0.953692631,9
-0.731343655,-7
0.34989245,1
0.870881727,3
0.961892483,3
-0.126448597,-3
0.808551958,7
0.595222738,-1
0.485851794,5
0.414879692,5
-0.388290716,-7
-0.38683532,-3
0.806355115,7
0.824320914,7
0.732649894,5
0.705949553,5
0.713868217,5
0.3354237,3
0.382288749,3
0.380040348,3
0.599277745,7
0.558901594,-1
0.788234288,7
0.813721428,-5
0.751287157,-3
0.751259379,-3
-0.208021873,1
-0.126304723,1
0.533636725,7
0.888716703,7
0.376179395,7
0.491657451,1
0.768759605,9
0.339135773,-3
0.47530832,1
-0.460079752,3
-0.55398963,5
-0.637558041,3
0.903739454,-3
0.362590252,-3
0.665489087,-1
0.423519303,-1
0.460034401,-1
0.570766694,-3
0.350850316,-3
0.777155678,7
0.379152482,-3
-0.181374785,-3
-0.44503082,3
0.702034076,-1
0.852887257,-7
0.820421386,-13
0.166375267,1
0.753449726,5
0.721619792,-1
0.710328797,-1
0.925888202,-7
0.264227438,1
0.732054614,5
-0.613019054,5
0.605908318,-1
-0.700570551,5
0.523137456,1
-0.044046031,1
0.883905454,-9
0.529743655,1
0.339796134,1
0.26166277,-1
0.632659433,-1
0.103559113,-3
-0.262233644,3
-0.736857126,7
0.543859788,3
-0.278676801,1
0.272320773,-5
0.673970552,-3
0.749343991,-3
0.560439664,-1
0.708536144,-7
0.628883632,-3
0.216965634,-3
0.926056609,-5
0.825642948,-5
0.717213514,9
0.863009426,1
0.586866645,-3
0.811468141,-5
0.436230097,-1
0.157830632,-1
0.759380583,-5
0.200793376,-1
0.707833869,-7
0.780848209,7
0.924382448,-7
0.639068135,-5
0.296136389,-5
0.263476107,-11
0.767184652,-3
0.308342611,1
0.845816007,5
0.554223338,-3
0.089873614,-3
0.4788406,-3
0.478473529,-5
0.615053384,-3
0.8522989,7
0.526110142,-3
0.743228463,-5
0.290954153,-3
0.82050895,3
0.751657756,5
0.451529416,-3
0.365155457,1
-0.186820443,1
0.500132235,-3
0.692969121,-3
0.29022275,-5
0.741228441,-5
0.843632864,5
0.781030455,7
0.548898757,-5
0.829084005,-5
0.861139756,3
0.615127238,-5
-0.449446058,5
